domain,recipient,channel,contact_route,draft_section,status,initial_sent_at,followup_1_due,followup_1_sent_at,followup_2_due,followup_2_sent_at,response_status,response_at,live_referring_page,last_checked,notes
appcharts.net,"James Chen, Head of Editorial",form,https://appcharts.net/contact/,1,initial_sent_waiting,2026-07-31T21:39:59+02:00,2026-08-05,,2026-08-13,,awaiting_reply,,,2026-07-31,"Official January 2026 comparison and About page reverified in a normal browser; factual form submitted once; authoritative confirmation displayed: Submission Success, Thanks for getting in touch!; no payment or ranking request"
world-of-lucid-dreaming.com,Editorial team,email,team@world-of-lucid-dreaming.com,2,initial_sent_waiting,2026-07-31T21:37:55+02:00,2026-08-05,,2026-08-13,,awaiting_reply,,,2026-07-31,"Current app index and official contact page reverified in a normal browser; public editorial email used; Gmail message 19fb9aee937105e6; developer walkthrough explicitly labelled and lucid tools described as basic"
androidauthority.com,Joe Hindy,email,contact@androidauthority.com,3,initial_sent_waiting,2026-07-31T21:31:23+02:00,2026-08-05,,2026-08-13,,awaiting_reply,,,2026-07-31,"Sent once from the authenticated public developer Gmail identity; message 19fb9a8aa98b5d96; recipient and article reverified on the official site; general contact used, not advertising or sales"
bestappsforandroid.com,Editorial team,email,hello@bestappsforandroid.com,4,delivery_failed_contact_route_broken,2026-07-31T21:38:45+02:00,,,,,delivery_failed,2026-07-31T21:38:47+02:00,,2026-07-31,"Official Cloudflare-protected address was decoded from the current contact page, but Gmail message 19fb9afacdc85285 failed immediately with 554 5.7.1 Relay access denied; no alternative official editorial route was found and no address was guessed"
holstee.com,Dave Rad,email,hello@holstee.com,4R,initial_sent_acknowledged_waiting,2026-07-31T21:56:46+02:00,2026-08-05,,2026-08-13,,awaiting_editorial_reply,,,2026-07-31,"Replacement for the broken Best Apps route; July 15 article, named author, 2009 founding history, own-app disclosure and public contact address verified on official Holstee pages; Gmail message 19fb9c02a9d07fa6; official Holstee Helpdesk acknowledgment 19fb9c05b7009e91 received at 2026-07-31T21:56:56+02:00 with no delivery failure; acknowledgment is not an editorial acceptance or backlink; one factual hands-on request and no payment or reciprocity"
mattressmiracle.ca,Sleep-resource editorial team,email,info@mattressmiracle.ca,5,initial_sent_waiting,2026-07-31T21:31:23+02:00,2026-08-05,,2026-08-13,,awaiting_reply,,,2026-07-31,"Sent once from the authenticated public developer Gmail identity; message 19fb9a8486dca53e; current public contact address verified; source and boundary note only, with no clinical or sleep-efficacy claim"
dreamstudies.org,"Ryan Hurd, Editor in Chief",form,https://dreamstudies.org/contact/,6,prefilled_waiting_user_recaptcha,,,,,,not_contacted,,,2026-07-31,"Independent article, current About page and Ryan Hurd role reverified; methodology op-ed form is prefilled but not submitted because reCAPTCHA is user-owned; no product-placement or clinical-research claim"
sleepreviewmag.com,"Sree Roy, Chief Editor",email,editor@sleepreviewmag.com,7,initial_sent_waiting,2026-07-31T21:31:23+02:00,2026-08-05,,2026-08-13,,awaiting_reply,,,2026-07-31,"Sent once from the authenticated public developer Gmail identity; message 19fb9a854cbb5c16; current Chief Editor address decoded from the official Cloudflare-protected contact link; news/background brief only"
oneironauts.io,Editorial team,email,welcome@oneironauts.io,8,initial_sent_waiting,2026-07-31T21:31:23+02:00,2026-08-05,,2026-08-13,,awaiting_reply,,,2026-07-31,"Sent once from the authenticated public developer Gmail identity; message 19fb9a8611694132; comparison and official Connect email reverified; no reciprocity or inclusion expectation"
techradar.com,Paul Hatton,email,paulo.n.hatton@gmail.com,9,auto_reply_waiting_return,2026-07-31T21:31:23+02:00,2026-08-13,,2026-08-21,,auto_reply_away_until_2026-08-12,2026-07-31T21:31:12+02:00,,2026-07-31,"Gmail message 19fb9a8b695d4ff8 reached the official author address; automatic reply says Paul returns on 2026-08-12, so the first follow-up was moved to 2026-08-13 and no message will be sent while he is away"
tomsguide.com,"Amanda Caswell, AI Editor",email,amanda.caswell@futurenet.com,10,initial_sent_waiting,2026-07-31T21:31:23+02:00,2026-08-05,,2026-08-13,,awaiting_reply,,,2026-07-31,"Sent once from the authenticated public developer Gmail identity; message 19fb9a8c19fef0fb; address comes from the current official Contact Amanda link; no guessed address"
